iter	Passed	Remaining
0	176	176793
1	187	93782
2	202	67284
3	214	53418
4	222	44213
5	231	38411
6	240	34059
7	246	30553
8	252	27760
9	258	25574
10	264	23750
11	270	22266
12	276	20984
13	283	19975
14	289	19016
15	296	18245
16	302	17505
17	309	16895
18	315	16304
19	322	15794
20	328	15318
21	335	14904
22	341	14500
23	348	14162
24	354	13831
25	361	13526
26	366	13223
27	373	12976
28	379	12715
29	386	12498
30	392	12283
31	401	12139
32	409	11988
33	418	11886
34	427	11789
35	435	11663
36	444	11562
37	451	11434
38	460	11348
39	467	11226
40	475	11112
41	483	11018
42	490	10915
43	498	10839
44	506	10754
45	515	10691
46	523	10614
47	531	10533
48	540	10480
49	547	10400
50	555	10340
51	562	10260
52	570	10194
53	577	10112
54	584	10042
55	591	9972
56	599	9916
57	605	9840
58	612	9770
59	619	9708
60	625	9635
61	632	9573
62	639	9507
63	646	9455
64	652	9388
65	660	9342
66	666	9282
67	673	9230
68	679	9171
69	686	9124
70	693	9070
71	700	9022
72	706	8974
73	713	8934
74	720	8891
75	727	8839
76	734	8799
77	740	8753
78	747	8719
79	754	8678
80	761	8641
81	768	8598
82	774	8559
83	781	8519
84	788	8483
85	794	8440
86	800	8401
87	806	8360
88	812	8319
89	819	8284
90	825	8242
91	831	8203
92	837	8170
93	844	8140
94	850	8103
95	857	8071
96	863	8038
97	870	8009
98	876	7979
99	884	7958
100	890	7927
101	897	7900
102	904	7878
103	911	7849
104	918	7827
105	924	7798
106	931	7775
107	937	7745
108	943	7714
109	949	7683
110	955	7653
111	961	7625
112	967	7596
113	975	7580
114	981	7550
115	988	7529
116	994	7502
117	1001	7484
118	1007	7457
119	1013	7433
120	1019	7407
121	1025	7383
122	1032	7358
123	1038	7337
124	1044	7312
125	1050	7286
126	1057	7266
127	1063	7241
128	1069	7223
129	1075	7197
130	1082	7178
131	1088	7156
132	1094	7137
133	1101	7117
134	1107	7095
135	1113	7073
136	1119	7051
137	1125	7031
138	1131	7009
139	1137	6989
140	1143	6968
141	1150	6951
142	1156	6931
143	1163	6917
144	1170	6901
145	1176	6882
146	1182	6862
147	1188	6844
148	1194	6823
149	1201	6808
150	1207	6788
151	1213	6772
152	1219	6753
153	1226	6739
154	1233	6722
155	1240	6709
156	1246	6691
157	1253	6677
158	1259	6659
159	1265	6644
160	1271	6626
161	1277	6610
162	1283	6593
163	1290	6576
164	1296	6559
165	1301	6541
166	1309	6530
167	1315	6514
168	1323	6508
169	1330	6493
170	1337	6482
171	1343	6468
172	1350	6457
173	1357	6445
174	1364	6433
175	1370	6418
176	1377	6405
177	1383	6391
178	1390	6377
179	1396	6362
180	1403	6351
181	1409	6336
182	1416	6325
183	1422	6309
184	1430	6301
185	1436	6287
186	1443	6276
187	1450	6267
188	1457	6254
189	1464	6245
190	1471	6233
191	1478	6221
192	1485	6209
193	1492	6200
194	1499	6190
195	1506	6179
196	1512	6165
197	1520	6157
198	1526	6143
199	1533	6134
200	1539	6120
201	1546	6110
202	1553	6099
203	1560	6089
204	1566	6076
205	1573	6064
206	1579	6051
207	1586	6042
208	1593	6030
209	1600	6019
210	1606	6006
211	1612	5994
212	1619	5982
213	1625	5971
214	1632	5960
215	1639	5951
216	1645	5938
217	1652	5927
218	1659	5916
219	1666	5908
220	1672	5896
221	1680	5888
222	1686	5875
223	1692	5863
224	1698	5851
225	1704	5836
226	1710	5824
227	1716	5811
228	1723	5803
229	1729	5790
230	1737	5784
231	1743	5771
232	1750	5762
233	1756	5750
234	1763	5740
235	1769	5728
236	1776	5719
237	1782	5707
238	1789	5696
239	1795	5684
240	1802	5675
241	1808	5663
242	1814	5652
243	1820	5641
244	1827	5631
245	1833	5620
246	1839	5608
247	1846	5598
248	1852	5586
249	1859	5577
250	1865	5565
