Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,recall_score,Time Taken
LGBMClassifier,0.9569468538085475,0.9512043670686132,0.9512043670686132,0.9566881406790266,0.9112338858195211,0.20264267921447754
XGBClassifier,0.9537927771644851,0.9491405431815849,0.9491405431815849,0.9535915340918232,0.9167587476979742,0.2351386547088623
LabelPropagation,0.9517426273458445,0.9462837456917962,0.9462837456917962,0.9514805264194927,0.9082872928176795,25.128315687179565
AdaBoostClassifier,0.9493770698627977,0.9426422024685639,0.9426422024685639,0.9490082324847487,0.8957642725598527,0.6927621364593506
KNeighborsClassifier,0.9444882510645008,0.9394317081767753,0.9394317081767753,0.9442305234893567,0.9042357274401474,0.49167346954345703
SVC,0.9470115123797508,0.9385842376371185,0.9385842376371184,0.9464806629899717,0.879926335174954,2.4945433139801025
BaggingClassifier,0.938180097776376,0.9353503294702978,0.9353503294702978,0.9380785464409728,0.9156537753222836,0.36557960510253906
RandomForestClassifier,0.9345529096357041,0.9326414812602658,0.9326414812602658,0.934517167895928,0.9193370165745857,1.1216630935668945
LogisticRegression,0.9405456552594228,0.9320052434890636,0.9320052434890634,0.9399524359909714,0.8725598526703499,0.09305238723754883
CalibratedClassifierCV,0.9391263207695947,0.9312731662771125,0.9312731662771125,0.9385935932585331,0.8766114180478821,0.26488828659057617
LinearSVC,0.9403879514272196,0.9306643547369673,0.9306643547369672,0.9396657283456193,0.8629834254143647,0.7751595973968506
ExtraTreesClassifier,0.9321873521526574,0.9299253193886186,0.9299253193886186,0.9321285431416284,0.9141804788213628,0.7961773872375488
SGDClassifier,0.9392840246017978,0.929282682163503,0.9292826821635031,0.9385192327074532,0.8596685082872928,0.056372880935668945
NuSVC,0.9388109131051885,0.9291003485162916,0.9291003485162918,0.9380748866577641,0.8615101289134438,12.941232442855835
GaussianNB,0.9377069862797666,0.9287828644971503,0.9287828644971503,0.9370498202506163,0.8666666666666667,0.04413962364196777
QuadraticDiscriminantAnalysis,0.938337801608579,0.9283627860581294,0.9283627860581295,0.9375665140353108,0.8589318600368324,0.055754661560058594
ExtraTreeClassifier,0.9269831256899542,0.9255599268227523,0.9255599268227523,0.9269915234532676,0.9156537753222836,0.03612971305847168
DecisionTreeClassifier,0.9271408295221574,0.9255590126150506,0.9255590126150506,0.9271374506823251,0.914548802946593,0.07105660438537598
PassiveAggressiveClassifier,0.9361299479577354,0.9255069027760425,0.9255069027760425,0.9352568516960075,0.8515653775322284,0.05077171325683594
Perceptron,0.9326604636492667,0.924370288656003,0.9243702886560029,0.9320369688779344,0.8666666666666667,0.04046440124511719
LinearDiscriminantAnalysis,0.9350260211323135,0.9242177683377368,0.9242177683377368,0.9341170733309527,0.848987108655617,0.09252214431762695
RidgeClassifier,0.9350260211323135,0.9242177683377368,0.9242177683377368,0.9341170733309527,0.848987108655617,0.043489694595336914
RidgeClassifierCV,0.9350260211323135,0.9242177683377368,0.9242177683377368,0.9341170733309527,0.848987108655617,0.06508588790893555
BernoulliNB,0.7607632865478631,0.7649981868213912,0.7649981868213912,0.76198803067997,0.7944751381215469,0.04166817665100098
NearestCentroid,0.734899858066551,0.7347493394849354,0.7347493394849354,0.7359592901668945,0.7337016574585635,0.03145599365234375
DummyClassifier,0.5718340955685223,0.5,0.5,0.4160671075612445,0.0,0.025972366333007812
